original_zip_name,original_zip_path,original_zip_sha256,source_project_zip,source_project,source_project_id,nested_zip_entry,extracted_project_zip_path,nested_zip_size_bytes
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_Analyst_Tesla.zip,ziyuan_guo_Analyst_Tesla,project_066_ziyuan_guo_analyst_tesla,ziyuan_guo_Analyst_Tesla.zip,extracted\project_zips\overleaf_projects_77_items\project_066_ziyuan_guo_analyst_tesla.zip,5278
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_Data Analyst_ALO.zip,ziyuan_guo_Data Analyst_ALO,project_067_ziyuan_guo_data_analyst_alo,ziyuan_guo_Data Analyst_ALO.zip,extracted\project_zips\overleaf_projects_77_items\project_067_ziyuan_guo_data_analyst_alo.zip,5285
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_Data_cocacola.zip,ziyuan_guo_Data_cocacola,project_068_ziyuan_guo_data_cocacola,ziyuan_guo_Data_cocacola.zip,extracted\project_zips\overleaf_projects_77_items\project_068_ziyuan_guo_data_cocacola.zip,5266
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_PLM_Hyundai.zip,ziyuan_guo_PLM_Hyundai,project_069_ziyuan_guo_plm_hyundai,ziyuan_guo_PLM_Hyundai.zip,extracted\project_zips\overleaf_projects_77_items\project_069_ziyuan_guo_plm_hyundai.zip,5716
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_PM _AMETEK.zip,ziyuan_guo_PM _AMETEK,project_070_ziyuan_guo_pm_ametek,ziyuan_guo_PM _AMETEK.zip,extracted\project_zips\overleaf_projects_77_items\project_070_ziyuan_guo_pm_ametek.zip,5110
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_PM_waabi.zip,ziyuan_guo_PM_waabi,project_071_ziyuan_guo_pm_waabi,ziyuan_guo_PM_waabi.zip,extracted\project_zips\overleaf_projects_77_items\project_071_ziyuan_guo_pm_waabi.zip,5099
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_Product ops_zscaler.zip,ziyuan_guo_Product ops_zscaler,project_072_ziyuan_guo_product_ops_zscaler,ziyuan_guo_Product ops_zscaler.zip,extracted\project_zips\overleaf_projects_77_items\project_072_ziyuan_guo_product_ops_zscaler.zip,5004
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_QA_volvo.zip,ziyuan_guo_QA_volvo,project_073_ziyuan_guo_qa_volvo,ziyuan_guo_QA_volvo.zip,extracted\project_zips\overleaf_projects_77_items\project_073_ziyuan_guo_qa_volvo.zip,4439
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_data_RTI.zip,ziyuan_guo_data_RTI,project_074_ziyuan_guo_data_rti,ziyuan_guo_data_RTI.zip,extracted\project_zips\overleaf_projects_77_items\project_074_ziyuan_guo_data_rti.zip,5241
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_ops_TI.zip,ziyuan_guo_ops_TI,project_075_ziyuan_guo_ops_ti,ziyuan_guo_ops_TI.zip,extracted\project_zips\overleaf_projects_77_items\project_075_ziyuan_guo_ops_ti.zip,5098
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_ops_sono bello.zip,ziyuan_guo_ops_sono bello,project_076_ziyuan_guo_ops_sono_bello,ziyuan_guo_ops_sono bello.zip,extracted\project_zips\overleaf_projects_77_items\project_076_ziyuan_guo_ops_sono_bello.zip,4370
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,ziyuan_guo_product_Razer.zip,ziyuan_guo_product_Razer,project_077_ziyuan_guo_product_razer,ziyuan_guo_product_Razer.zip,extracted\project_zips\overleaf_projects_77_items\project_077_ziyuan_guo_product_razer.zip,5160
