original_zip_name,original_zip_path,original_zip_sha256,source_project_zip,source_project,source_project_id,nested_zip_entry,extracted_project_zip_path,nested_zip_size_bytes
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_ergo_antora.zip,26 summer_ergo_antora,project_036_26_summer_ergo_antora,26 summer_ergo_antora.zip,extracted\project_zips\overleaf_projects_77_items\project_036_26_summer_ergo_antora.zip,6495
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_tech PM (v1).zip,26 summer_tech PM (v1),project_037_26_summer_tech_pm_v1,26 summer_tech PM (v1).zip,extracted\project_zips\overleaf_projects_77_items\project_037_26_summer_tech_pm_v1.zip,5089
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Graduate Student Assistant- AI-Powered Career Success Systems(V2).zip,Graduate Student Assistant- AI-Powered Career Success Systems(V2),project_038_graduate_student_assistant_ai_powered_career_success_systems_v2,Graduate Student Assistant- AI-Powered Career Success Systems(V2).zip,extracted\project_zips\overleaf_projects_77_items\project_038_graduate_student_assistant_ai_powered_career_success_systems_v2.zip,4370
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,NEU IS_V2.zip,NEU IS_V2,project_039_neu_is_v2,NEU IS_V2.zip,extracted\project_zips\overleaf_projects_77_items\project_039_neu_is_v2.zip,4305
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,UCSD CSS.zip,UCSD CSS,project_040_ucsd_css,UCSD CSS.zip,extracted\project_zips\overleaf_projects_77_items\project_040_ucsd_css.zip,4362
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,UIUC MSIM.zip,UIUC MSIM,project_041_uiuc_msim,UIUC MSIM.zip,extracted\project_zips\overleaf_projects_77_items\project_041_uiuc_msim.zip,5924
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,UNC MSIS.zip,UNC MSIS,project_042_unc_msis,UNC MSIS.zip,extracted\project_zips\overleaf_projects_77_items\project_042_unc_msis.zip,5518
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,UR DS.zip,UR DS,project_043_ur_ds,UR DS.zip,extracted\project_zips\overleaf_projects_77_items\project_043_ur_ds.zip,4390
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,UTA MSIS.zip,UTA MSIS,project_044_uta_msis,UTA MSIS.zip,extracted\project_zips\overleaf_projects_77_items\project_044_uta_msis.zip,5339
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_CSR & Social Impact_SONY.zip,Ziyuan_Guo_CSR & Social Impact_SONY,project_045_ziyuan_guo_csr_social_impact_sony,Ziyuan_Guo_CSR & Social Impact_SONY.zip,extracted\project_zips\overleaf_projects_77_items\project_045_ziyuan_guo_csr_social_impact_sony.zip,4494
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_Consumer_Sandisk.zip,Ziyuan_Guo_Consumer_Sandisk,project_046_ziyuan_guo_consumer_sandisk,Ziyuan_Guo_Consumer_Sandisk.zip,extracted\project_zips\overleaf_projects_77_items\project_046_ziyuan_guo_consumer_sandisk.zip,4932
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_Consumer_iff.zip,Ziyuan_Guo_Consumer_iff,project_047_ziyuan_guo_consumer_iff,Ziyuan_Guo_Consumer_iff.zip,extracted\project_zips\overleaf_projects_77_items\project_047_ziyuan_guo_consumer_iff.zip,4729
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_Consumer_market_iff.zip,Ziyuan_Guo_Consumer_market_iff,project_048_ziyuan_guo_consumer_market_iff,Ziyuan_Guo_Consumer_market_iff.zip,extracted\project_zips\overleaf_projects_77_items\project_048_ziyuan_guo_consumer_market_iff.zip,4716
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_Digital Ops_Richemont.zip,Ziyuan_Guo_Digital Ops_Richemont,project_049_ziyuan_guo_digital_ops_richemont,Ziyuan_Guo_Digital Ops_Richemont.zip,extracted\project_zips\overleaf_projects_77_items\project_049_ziyuan_guo_digital_ops_richemont.zip,4934
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_HF_Genentech.zip,Ziyuan_Guo_HF_Genentech,project_050_ziyuan_guo_hf_genentech,Ziyuan_Guo_HF_Genentech.zip,extracted\project_zips\overleaf_projects_77_items\project_050_ziyuan_guo_hf_genentech.zip,4955
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,Ziyuan_Guo_HF_Wisk.zip,Ziyuan_Guo_HF_Wisk,project_051_ziyuan_guo_hf_wisk,Ziyuan_Guo_HF_Wisk.zip,extracted\project_zips\overleaf_projects_77_items\project_051_ziyuan_guo_hf_wisk.zip,4947
